Geneid,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1 ,Control_Sample2 ,Control_Sample3
ENSMUSG00000042501,0,0,0,0,0,0
ENSMUSG00000103810,0,0,0,0,0,0
ENSMUSG00000083422,0,0,28,6,0,0
ENSMUSG00000119312,0,0,0,0,0,0
ENSMUSG00000042641,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0
ENSMUSG00000103192,164,70,75,61,107,112
ENSMUSG00000104488,252,271,100,243,125,109
ENSMUSG00000100212,0,0,0,0,0,0
ENSMUSG00000102721,193,268,190,112,100,0
ENSMUSG00000100648,0,0,0,28,0,0
ENSMUSG00002076499,0,0,0,0,0,0
ENSMUSG00000099949,0,0,0,0,0,0
ENSMUSG00000099918,0,0,0,0,0,0
ENSMUSG00000045968,0,13,0,0,0,0
ENSMUSG00000043282,0,0,0,0,0,0
ENSMUSG00000102459,0,0,0,0,0,0
ENSMUSG00000047053,0,0,0,0,0,0
ENSMUSG00000099227,0,0,0,0,0,0
ENSMUSG00000026107,380,389,377,363,525,409
ENSMUSG00000099413,0,0,0,20,1,0
ENSMUSG00000103424,0,0,0,0,0,0
ENSMUSG00000054976,0,0,0,0,0,0
ENSMUSG00000104029,0,0,0,0,0,0
ENSMUSG00000101986,0,0,0,0,0,0
ENSMUSG00000087008,0,0,0,0,0,1
ENSMUSG00000026473,5150,2695,6790,3729,3393,3919
ENSMUSG00000100014,0,0,0,0,0,0
ENSMUSG00000101903,0,0,11,0,21,0
ENSMUSG00000100502,0,0,0,0,0,0
ENSMUSG00000088669,0,0,0,0,0,0
ENSMUSG00000066797,0,0,0,0,0,0
ENSMUSG00000048960,0,0,0,11,0,0
ENSMUSG00000099933,0,0,0,0,0,0
ENSMUSG00000100221,0,0,0,0,0,0
ENSMUSG00002076439,0,0,0,0,0,0
ENSMUSG00000100031,0,0,0,0,0,0
ENSMUSG00000077318,0,0,0,0,0,0
ENSMUSG00000101827,0,0,0,0,0,0
ENSMUSG00000103494,0,0,0,0,0,11
ENSMUSG00000067158,0,0,0,70,29,0
ENSMUSG00000079465,0,0,0,29,0,0
ENSMUSG00002075966,0,0,0,0,0,0
ENSMUSG00000097564,0,0,0,0,0,0
ENSMUSG00000101880,0,0,0,0,26,0
ENSMUSG00000101433,0,0,0,0,0,0
ENSMUSG00000096950,0,0,0,0,0,0
ENSMUSG00000056708,249,175,117,157,319,120
ENSMUSG00000026471,89,113,30,26,69,35
ENSMUSG00000057715,0,0,0,0,0,0
ENSMUSG00000026470,197,411,191,259,297,194
ENSMUSG00000103825,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0
ENSMUSG00000101610,0,0,0,0,0,0
ENSMUSG00000104181,9,0,0,1,0,19
ENSMUSG00000118923,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0
ENSMUSG00000097628,0,0,0,0,0,0
ENSMUSG00000098163,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0
ENSMUSG00000033722,0,0,0,17,0,0
ENSMUSG00000103670,0,0,0,0,0,0
ENSMUSG00000026150,809,419,448,455,328,614
ENSMUSG00000101450,39,66,23,49,28,12
ENSMUSG00000026149,30,100,12,0,11,0
ENSMUSG00000114299,0,0,0,0,0,0
ENSMUSG00000099771,0,0,0,0,0,0
ENSMUSG00000102280,0,0,0,0,0,0
ENSMUSG00000100170,0,0,0,0,0,0
ENSMUSG00000100744,0,0,0,0,0,0
ENSMUSG00002074851,0,0,0,0,0,0
ENSMUSG00000026469,3362,3491,4930,2683,2642,2978
ENSMUSG00002076398,0,0,0,0,0,0
ENSMUSG00000018417,169,157,104,83,119,25
ENSMUSG00000101724,0,32,0,0,0,0
ENSMUSG00000100313,0,0,0,1,0,0
ENSMUSG00000100696,0,0,0,0,0,0
ENSMUSG00002075355,0,0,0,0,0,0
ENSMUSG00000072324,0,0,0,0,0,0
ENSMUSG00000026490,48,52,73,46,70,122
ENSMUSG00000033701,50,110,111,113,0,112
ENSMUSG00000102194,1,0,0,0,0,0
ENSMUSG00000103636,0,0,0,22,0,0
ENSMUSG00000026468,0,0,0,0,0,0
ENSMUSG00000103180,0,0,0,0,0,0
ENSMUSG00000062939,0,0,0,0,0,0
ENSMUSG00000101628,0,0,0,0,0,0
ENSMUSG00000078291,0,0,0,0,0,0
ENSMUSG00000109599,0,0,0,0,0,0
ENSMUSG00000033684,64,43,126,60,16,96
ENSMUSG00000102299,0,0,0,0,0,0
ENSMUSG00000102558,0,0,0,0,15,0
ENSMUSG00000016918,0,0,0,0,0,0
ENSMUSG00000033671,2559,1996,2093,1400,1682,1824
ENSMUSG00000103717,0,0,33,0,0,0
ENSMUSG00000103771,0,0,0,0,0,0
ENSMUSG00000102837,0,0,0,0,39,0
ENSMUSG00000077419,0,0,0,0,0,0
ENSMUSG00000102833,0,0,0,0,13,0
ENSMUSG00000026489,102,31,46,0,0,40
ENSMUSG00000104520,0,3,0,0,0,0
ENSMUSG00000025938,0,3,0,0,11,0
ENSMUSG00000026159,636,636,949,489,381,631
ENSMUSG00000104518,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0
ENSMUSG00000113880,0,0,0,0,0,21
ENSMUSG00000113973,0,0,0,0,0,0
ENSMUSG00000113846,0,0,0,0,0,0
ENSMUSG00000113084,0,0,0,0,0,0
ENSMUSG00000042414,0,0,0,0,0,0
ENSMUSG00000113925,0,0,0,0,0,0
ENSMUSG00000114011,0,0,0,0,0,0
ENSMUSG00000113097,0,0,0,0,0,0
ENSMUSG00000101784,0,0,0,0,0,0
ENSMUSG00000038496,0,0,0,0,0,0
ENSMUSG00000100432,0,0,0,0,0,0
ENSMUSG00000100190,0,0,0,0,0,0
ENSMUSG00000113267,0,0,0,0,0,0
ENSMUSG00000104423,0,0,0,0,0,0
ENSMUSG00000101315,0,0,0,0,0,0
ENSMUSG00000099691,0,0,0,0,0,0
ENSMUSG00000026166,0,0,0,0,0,0
ENSMUSG00000101173,0,0,0,0,0,0
ENSMUSG00000053161,0,0,0,0,0,0
ENSMUSG00000101896,0,0,0,0,0,0
ENSMUSG00002075005,0,0,0,0,0,0
ENSMUSG00000026466,1044,733,1013,677,721,625
ENSMUSG00000102964,121,132,93,0,28,69
ENSMUSG00000010609,134,328,413,323,204,275
ENSMUSG00000026163,0,0,0,0,0,0
ENSMUSG00000079140,0,0,0,0,0,0
ENSMUSG00000104374,0,0,0,0,0,0
ENSMUSG00000104219,0,0,0,0,0,0
ENSMUSG00000100580,0,0,0,0,0,0
ENSMUSG00000038855,1143,1062,1578,975,1019,1082
ENSMUSG00002076780,0,0,0,0,0,0
ENSMUSG00000104388,367,341,330,172,249,392
ENSMUSG00000077736,0,0,0,0,0,0
ENSMUSG00000103123,104,120,82,42,35,57
ENSMUSG00000103772,230,158,140,84,90,105
ENSMUSG00000053963,28,16,15,1,0,1
ENSMUSG00000104210,0,0,0,0,7,26
ENSMUSG00000102608,0,0,0,35,20,0
ENSMUSG00000045658,3484,2284,4903,2136,2821,3038
ENSMUSG00000050565,1171,1059,1283,694,851,689
ENSMUSG00000102750,442,104,281,159,365,325
ENSMUSG00000101934,127,21,135,0,0,101
ENSMUSG00000098851,72,17,22,66,40,53
ENSMUSG00000015484,0,0,0,40,0,0
ENSMUSG00000048402,0,0,0,0,0,0
ENSMUSG00000098273,0,0,0,0,0,0
ENSMUSG00000097408,0,0,0,4,0,0
ENSMUSG00000096939,0,0,0,0,0,0
ENSMUSG00000100767,0,0,0,0,0,0
ENSMUSG00000099860,0,0,0,0,0,0
ENSMUSG00000101179,18,1,6,5,0,9
ENSMUSG00000037035,0,0,0,0,0,0
ENSMUSG00000036766,0,26,54,32,84,22
ENSMUSG00000104396,0,0,23,0,0,52
ENSMUSG00000102481,0,0,0,26,26,0
ENSMUSG00000005886,896,767,1037,554,615,423
ENSMUSG00000093254,0,0,0,0,0,0
ENSMUSG00000004451,302,295,321,284,347,155
ENSMUSG00000101437,0,0,0,13,0,0
ENSMUSG00000103506,73,63,114,21,32,59
ENSMUSG00000098447,0,0,0,0,0,0
ENSMUSG00000103495,0,0,0,24,16,40
ENSMUSG00002076346,0,0,0,0,0,0
ENSMUSG00000102639,0,23,0,0,0,0
ENSMUSG00000098923,78,89,85,34,40,199
ENSMUSG00000104170,15,4,80,40,12,1
ENSMUSG00000087782,0,0,20,1,0,0
ENSMUSG00000101731,0,0,0,0,0,0
ENSMUSG00000103085,59,104,58,61,14,30
ENSMUSG00000084505,0,0,0,0,0,0
ENSMUSG00000102664,37,133,56,29,26,85
ENSMUSG00000101476,0,0,0,0,0,0
ENSMUSG00000101171,0,0,0,0,0,22
ENSMUSG00000026496,550,427,354,277,284,312
ENSMUSG00000025935,1378,993,1210,1195,1055,1512
ENSMUSG00000025937,388,377,242,304,302,497
ENSMUSG00000102982,13,0,0,0,0,0
ENSMUSG00000067813,0,0,0,1,0,0
ENSMUSG00000077368,0,0,0,0,0,0
ENSMUSG00000097711,0,0,0,0,0,0
ENSMUSG00000102166,0,0,0,0,0,0
ENSMUSG00002075174,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0
ENSMUSG00000026219,4793,3284,4397,2883,3968,3204
ENSMUSG00000103505,125,35,25,123,65,17
ENSMUSG00000104503,167,115,118,147,121,58
ENSMUSG00000073633,0,0,0,15,0,6
ENSMUSG00000026220,0,0,13,0,0,10
ENSMUSG00000118590,0,0,0,0,0,0
ENSMUSG00000099693,0,0,0,0,0,0
ENSMUSG00000026104,88,65,84,168,173,245
ENSMUSG00000026383,1,1,17,0,0,0
ENSMUSG00000099569,0,0,15,0,0,36
ENSMUSG00000102687,0,0,0,0,0,0
ENSMUSG00000060743,1018,390,747,711,962,791
