"","Comparison","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","diffexpressed"
"ENSMUSG00000031723","S2_vs_S1",36.6464703379947,-9.16907543719096,2.12755337369284,-4.30968057044603,1.63490520664938e-05,0.00740854266790932,"Txnl4b","DOWN"
"ENSMUSG00000038416","S2_vs_S1",158.389927310823,-2.24904940983836,0.512427836542381,-4.38900709417715,1.13869355240791e-05,0.00663424553033849,"Cdc16","DOWN"
"ENSMUSG00000031644","S2_vs_S1",140.68004923088,-1.90974426202879,0.52460375890811,-3.6403556581517,0.000272261703259295,0.0356623985322017,"Nek1","DOWN"
"ENSMUSG00000031770","S2_vs_S1",108.292605973002,-3.10809029771365,0.717020978175188,-4.33472714511605,1.45941026664099e-05,0.00705989801966349,"Herpud1","DOWN"
"ENSMUSG00000031570","S2_vs_S1",142.364177915909,-2.67216413249485,0.677198984487114,-3.94590688070605,7.94985075822742e-05,0.0159480933477209,"Plpp5","DOWN"
"ENSMUSG00000110558","S2_vs_S1",53.3614865778454,6.21484137644923,1.69564228884889,3.66518422978721,0.000247160598270756,0.0343637490891216,NA,"UP"
"ENSMUSG00000110317","S2_vs_S1",46.6799558543562,-8.87261679397091,1.91003955813374,-4.64525289865733,3.39660106234687e-06,0.00346311783315116,NA,"DOWN"
"ENSMUSG00000121092","S2_vs_S1",309.495468502947,1.50386009536962,0.377528607757456,3.9834334788631,6.79266913658633e-05,0.0145804047168656,NA,"UP"
"ENSMUSG00000034731","S2_vs_S1",490.627425524541,1.23545064794629,0.29445273518358,4.1957519843585,2.71967727342834e-05,0.0106564793554418,"Dgkh","UP"
"ENSMUSG00000021838","S2_vs_S1",32.9053676925438,7.32575369659436,2.11093944642686,3.47037604939095,0.000519730160277476,0.0485412100075948,"Samd4","UP"
"ENSMUSG00000021870","S2_vs_S1",560.611444721477,-0.900180523481458,0.242763561919136,-3.70805452171321,0.000208857693783831,0.0304211176600616,"Slmap","DOWN"
"ENSMUSG00000022126","S2_vs_S1",653.109158943265,1.22747364313323,0.269289257975292,4.55819757669595,5.15944899459448e-06,0.00418135225324011,"Acod1","UP"
"ENSMUSG00000022159","S2_vs_S1",29.3088714559121,8.18876402128662,2.20074968170561,3.7208975147688,0.000198515994409858,0.0292631709831882,"Rab2b","UP"
"ENSMUSG00000115222","S2_vs_S1",41.5887503669664,-8.84265643244029,1.95900188324215,-4.51385805602477,6.3658831471391e-06,0.00444137236451111,NA,"DOWN"
"ENSMUSG00000099543","S2_vs_S1",29.7216848459427,-7.74264536772497,2.18690485759096,-3.54045826038087,0.000399432810968635,0.0417697473692415,NA,"DOWN"
