,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000025940,8.73267046682335,8.72312606114216,8.94467840085954,9.10879503199101,9.04706500623537,8.76890100386961
ENSMUSG00000025779,8.85300271378423,9.07469112294905,9.02825821343862,8.69492621795397,9.27244653077759,9.20161430191781
ENSMUSG00000041303,8.83611490206765,9.08097681351147,9.06577353305419,9.10405411261416,9.1657412619488,9.08357390428682
ENSMUSG00000073678,10.1302133075632,9.88634343275867,9.90874845904448,9.96682293839183,10.0100046464458,9.75180092195378
ENSMUSG00000104136,8.87182954011456,8.77500498740335,8.69796688726678,8.82365050690715,8.64388620048492,8.58142758468833
ENSMUSG00000036155,10.0504434293558,10.1288569855681,9.85473695314439,9.89206978948532,9.83890275444929,9.61838112057393
ENSMUSG00000104039,8.64998858431547,8.51544999843199,8.51544999843199,8.64873396058856,8.57416971718522,8.51544999843199
ENSMUSG00000104378,8.8163384652999,8.85673994946222,9.03737633595534,8.81293888800219,8.76207335002026,8.68270615562644
ENSMUSG00000099471,8.64998858431547,8.51544999843199,8.62660289220038,8.51544999843199,8.55233757572493,8.7200090280644
ENSMUSG00000026347,8.63414212803508,8.51544999843199,8.6896186272178,8.65314475047463,8.51544999843199,8.65404037831981
ENSMUSG00000026510,9.19772932166622,8.62279728653616,8.7545486141688,8.97343258164216,9.11899047731689,8.79725373094704
ENSMUSG00000026349,9.94345274682049,9.84459178041017,9.76246002262152,9.70182367739464,9.72008977742439,9.8622690329909
ENSMUSG00000052331,9.44802696374988,9.36048513817842,9.28185286298768,9.45303898196567,9.46640185442257,9.66550459642252
ENSMUSG00000026234,10.5737287608565,10.8714325739405,10.5339182522301,10.4507954455711,11.0964804863258,10.9334811352498
ENSMUSG00000101674,8.51544999843199,8.53101839522423,8.68399662716504,8.51544999843199,8.82456847947222,8.51544999843199
ENSMUSG00000102503,8.71902533015099,8.51544999843199,8.52881538208616,8.67448445603769,8.51544999843199,8.57010962211062
ENSMUSG00002075552,8.55798540859718,8.75581165894107,8.52881538208616,8.63513566588127,8.51544999843199,8.51544999843199
ENSMUSG00000102642,8.6968310561946,8.60564747132921,8.51544999843199,8.86168165028905,8.62176074854045,8.64654399252066
ENSMUSG00000073627,8.762168280781,8.51544999843199,8.66968325073953,8.51544999843199,8.51544999843199,8.51544999843199
ENSMUSG00000026509,9.74040774108978,9.64528034903712,9.88628417823029,10.1208428262724,10.0798742259425,10.0354905432239
ENSMUSG00000104415,8.57363006088841,8.77817169736585,8.72255614164047,8.8650420715562,8.79731352678517,8.58142758468833
ENSMUSG00000041859,9.19627680424803,9.29623076420667,9.30464260105523,9.37845979572045,9.36197041607385,9.45929498846768
ENSMUSG00000025982,10.7727375574639,10.7352560732959,10.5712627678207,10.4994875313749,11.0493547574638,10.8551343098942
ENSMUSG00000026238,10.1835578692002,10.3565634806639,9.9148881672551,9.97432439006595,10.3789321570136,10.2421792814278
ENSMUSG00000025931,8.76745440534817,8.63485949049226,8.64264224666407,8.67030023975849,8.73673045047571,8.51544999843199
ENSMUSG00000041809,8.51544999843199,8.60564747132921,8.63633502761765,8.51544999843199,8.51544999843199,8.65773136429486
ENSMUSG00000026239,8.78316147405889,9.09948862399203,8.85681423912218,8.8650420715562,8.85090672508769,8.75282075798749
ENSMUSG00000102927,8.75152378639986,8.70644059902206,8.59836681518936,8.67448445603769,8.51544999843199,8.51544999843199
ENSMUSG00000025981,9.19772932166622,8.97530574598848,9.19654261826137,9.31619022024165,9.02467958018584,8.95856917854369
ENSMUSG00000041779,9.30320484256012,9.03793044593517,9.3545079569187,8.95894698216352,9.05919592168281,9.27649019595013
ENSMUSG00000036104,9.21493452854107,9.36192976772408,9.20083365079968,9.08962668126003,9.17187529851432,9.42024483070462
ENSMUSG00000026240,8.99684902460564,8.8985633313622,8.8866133051929,8.99043533706698,8.76921617442024,8.63100422717656
ENSMUSG00000070565,8.98904075737024,8.96308811236557,8.8753019328005,9.0521446312503,8.75127638396087,9.04944204151859
ENSMUSG00000102391,8.51544999843199,8.51544999843199,8.57313483135168,8.74975580168478,8.51544999843199,8.51544999843199
ENSMUSG00000025980,9.57074705143775,9.37910906391977,9.28441534352318,9.46863539548424,9.41539878354185,9.61251803284189
ENSMUSG00000073676,9.0045748570976,9.05979311817983,8.8955310462753,9.01250439993844,8.8076385363298,8.8713197417303
ENSMUSG00000089670,8.60659457379568,8.63090054247877,8.62988664820193,8.6002084984208,8.51544999843199,8.5310341879883
ENSMUSG00000025934,8.95281129546466,9.06194153399426,8.86148175146548,8.62084668414795,8.99105906281531,8.9460374114252
ENSMUSG00000036086,9.26826345861539,9.3705549889167,9.15212522106659,9.24154995511106,8.78336307584342,9.19457925100114
ENSMUSG00000099760,8.51544999843199,8.51544999843199,8.51544999843199,8.93815079610625,8.67254815964715,8.51544999843199
ENSMUSG00000104164,9.16657956551423,8.69629273321044,8.95896834451969,8.79843752809939,8.83455430933599,8.51544999843199
ENSMUSG00000058603,8.55198280042011,8.72643384767432,8.63312973493385,8.79109673842322,8.66456631360115,8.69646503687146
ENSMUSG00000102782,8.61381700673763,8.51544999843199,8.6457485598209,8.82718898980385,8.51544999843199,8.66860438928964
ENSMUSG00000033488,8.64057794192265,8.68254930236263,8.51544999843199,8.51544999843199,8.60742799196036,8.69646503687146
ENSMUSG00000025979,9.24954169790596,9.25985077937154,9.12402466862277,9.01250439993844,9.27776351747977,9.41612892556711
ENSMUSG00000061863,8.51544999843199,8.51544999843199,8.65490045550853,8.51544999843199,8.65229864153117,8.51544999843199
ENSMUSG00000053333,9.08271972080802,8.96308811236557,9.14133548937569,9.29081538417847,8.92742161686616,9.21203948327865
ENSMUSG00000100768,8.735381303212,8.76864343847216,8.53769193201668,8.84807921755985,8.90683784102726,8.79414365988884
ENSMUSG00000104121,8.69963424732104,8.79696512149573,8.52881538208616,8.81652535040757,8.51544999843199,8.67921799744632
ENSMUSG00000102383,8.86012150010069,8.67906491172021,8.85446897826483,8.65314475047463,8.80421045328406,8.72994450758104
ENSMUSG00000104400,8.71627719441547,8.51544999843199,8.66383327447395,8.67448445603769,8.65229864153117,8.61873221485744
ENSMUSG00000084106,9.07058786030701,9.1194748911443,8.92797869323633,8.75738618961766,8.71458390266261,8.95608073295248
ENSMUSG00000102571,8.51544999843199,8.51544999843199,8.6457485598209,8.79477441798742,8.51544999843199,8.7592794124058
ENSMUSG00000103984,8.64057794192265,8.62279728653616,8.80594425112853,8.64426587367066,8.74038287767366,8.51544999843199
ENSMUSG00000025978,8.62419589024782,8.51544999843199,8.63950509587369,8.51544999843199,8.66857510085898,8.51544999843199
ENSMUSG00000046994,9.10965346506925,8.80006133699699,8.96900008500578,8.95011022077359,9.11678655299375,8.92550389985477
ENSMUSG00000082935,8.51544999843199,8.72973261250416,8.53769193201668,8.51544999843199,8.55233757572493,8.51544999843199
ENSMUSG00000025977,8.51544999843199,8.67202319282297,8.51544999843199,8.51544999843199,8.51544999843199,8.64654399252066
ENSMUSG00000038349,8.55198280042011,8.71314574721801,8.51544999843199,8.63973515731347,8.51544999843199,8.549672401514
ENSMUSG00000102145,8.58273678323409,8.51544999843199,8.64264224666407,8.6868320917486,8.51544999843199,8.51544999843199
ENSMUSG00000056211,10.5482366836564,10.7622500038416,10.8831284162235,10.6060639709745,10.5302470279951,10.6925408801448
