,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000054135,9.70842153905091,9.55193337968081,9.38064074088303,9.57100389023889,9.31950855342524,9.31950855342524
ENSMUSG00000041439,10.2386727293248,10.1982947055194,10.4136761652719,10.0620896310437,10.5169980326713,10.3039496773324
ENSMUSG00000100302,9.31950855342524,9.31950855342524,9.31950855342524,9.57941074046522,9.57379686305698,9.59152457657621
ENSMUSG00000102276,9.31950855342524,9.31950855342524,9.31950855342524,9.5897308829315,9.31950855342524,9.31950855342524
ENSMUSG00000026102,9.72083136135547,9.55755951397551,9.87241729677688,9.71128705173429,9.78767429422897,9.91269467466055
ENSMUSG00000041426,9.74395995636046,9.62515585169725,9.67658771459498,9.61778469004887,9.63089024433595,9.64322719947349
ENSMUSG00000026339,10.6521640826784,10.5683429748841,10.1808984589827,10.2338371016605,10.7248948477319,10.5536378928928
ENSMUSG00000050534,9.31950855342524,9.57392312109555,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000043629,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.56679492752925
ENSMUSG00000001674,10.0065844783777,9.99596211338338,9.7465038463072,9.84795391835215,9.64182708633128,9.80358484188941
ENSMUSG00000036707,11.1974535624037,11.3403735612977,11.0886501706165,11.1790566578003,11.2942734116699,11.2773417062453
ENSMUSG00000026223,10.3342060080415,10.2715850251536,10.3634925529876,10.3787431875832,9.93195658700798,10.1822114855257
ENSMUSG00000099767,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.5649771625017
ENSMUSG00000025939,9.86882590247832,9.79932386403013,9.9302124575259,10.0187228596163,9.71173062783634,9.96112333777644
ENSMUSG00000102457,9.4735775658644,9.52805147591151,9.67148455890535,9.55365577059442,9.31950855342524,9.31950855342524
ENSMUSG00000026094,10.2895076618612,10.2620184897449,10.2605010995567,9.97823599564508,10.2013232221139,10.0015706980543
ENSMUSG00000026341,11.9981837634604,11.9105485157278,11.8514476698537,11.7441837912341,12.1172293357948,11.9785331627861
ENSMUSG00000079658,9.92381752673502,9.72081811171157,9.96720753571732,10.0932547906597,9.79230116179678,10.047286918242
ENSMUSG00000026342,9.85736856266659,10.1713882317664,9.96267226312817,10.029770832048,9.94226677008447,9.89952558611058
ENSMUSG00000025940,9.63984767850076,9.63173131554764,9.8497743295549,10.0199574788063,9.95623678423347,9.6766344560283
ENSMUSG00000025779,9.75114155505326,9.98297783575988,9.93586819470075,9.6018886037887,10.1878709025655,10.0935953070758
ENSMUSG00000042686,9.55923155775652,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000025983,9.31950855342524,9.31950855342524,9.58143267802042,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000041303,9.74155307243674,9.95413590393194,9.97441313323466,9.93296237576168,10.0536524428035,9.98974772254329
ENSMUSG00000073678,11.029272164382,10.810008905425,10.831605912562,10.8781343161932,10.948898661958,10.6670098500994
ENSMUSG00000104136,9.77813068688264,9.6811926799301,9.60663417912631,9.73068923072531,9.55333710464872,9.45813540055514
